time_s,event_type,score,s_bar,level,from_behavior,to_behavior,afer_score
0,score,0,,,,,
0,decision,,0,Comfort,,,
10,score,0,,,,,
20,score,0,,,,,
20,decision,,0,Comfort,,,
30,score,2,,,,,
40,score,0,,,,,
40,decision,,0.5008,Mild,,,
40,switch,,0.5008,Mild,aggressive,normal,
50,score,0,,,,,
60,score,1,,,,,
60,decision,,0.569,Mild,,,
70,score,0,,,,,
80,score,0,,,,,
80,decision,,0.2922,Comfort,,,
90,score,3,,,,,
100,score,3,,,,,
100,decision,,1.7746,Bad,,,
110,score,0,,,,,
120,score,0,,,,,
120,decision,,0.8668,Mild,,,
130,score,0,,,,,
140,score,1,,,,,
140,decision,,0.7728,Mild,,,
150,score,3,,,,,
160,score,3,,,,,
160,decision,,1.8565,Bad,,,
170,score,4,,,,,
180,score,4,,,,,
180,decision,,3.2041,Bad,,,
180,switch,,3.2041,Bad,normal,cautious,
190,score,3,,,,,
200,score,0,,,,,
200,decision,,2.3054,Bad,,,
210,score,0,,,,,
220,score,0,,,,,
220,decision,,0.9552,Mild,,,
230,score,0,,,,,
240,score,3,,,,,
240,decision,,1.1693,Mild,,,
250,score,1,,,,,
260,score,0,,,,,
260,decision,,0.7399,Mild,,,
270,score,0,,,,,
280,score,0,,,,,
280,decision,,0.3799,Comfort,,,
290,score,0,,,,,
300,score,3,,,,,
300,decision,,1.0454,Mild,,,
310,score,0,,,,,
320,score,0,,,,,
320,decision,,0.505,Mild,,,
330,score,0,,,,,
340,score,0,,,,,
340,decision,,0.2593,Comfort,,,
350,score,3,,,,,
360,score,3,,,,,
360,decision,,1.6882,Bad,,,
370,score,3,,,,,
380,score,0,,,,,
380,decision,,1.5715,Bad,,,
390,score,0,,,,,
400,score,0,,,,,
400,decision,,0.8068,Mild,,,
410,score,0,,,,,
420,score,0,,,,,
420,decision,,0.1858,Comfort,,,
430,score,0,,,,,
440,score,0,,,,,
440,decision,,0,Comfort,,,
450,score,0,,,,,
460,score,0,,,,,
460,decision,,0,Comfort,,,
470,score,0,,,,,
480,score,0,,,,,
480,decision,,0,Comfort,,,
490,score,0,,,,,
500,score,0,,,,,
500,decision,,0,Comfort,,,
